Title,Genres,Release_year,Run_time,IMDB_rating,Age_rating,Production_country,Link
presumed innocent,,2024,,,,United States,https://www.justwatch.com/in/tv-show/presumed-innocent
dark desire,,2020,34min,6.5 (9.6k),,Mexico,https://www.justwatch.com/in/tv-show/dark-desire
elite,,,,,,,https://www.justwatch.com/in/tv-show/elite
paatal lok,,,,,,,https://www.justwatch.com/in/tv-show/paatal-lok
criminal minds,"Crime, Drama, Mystery & Thriller",2005,41min,8.1 (223k),,United States,https://www.justwatch.com/in/tv-show/criminal-minds
mad men,,,,,,,https://www.justwatch.com/in/tv-show/mad-men
tujhpe main fida,"Romance, Drama",,26min,7.7 (1.3k),,India,https://www.justwatch.com/in/tv-show/tujhpe-main-fida
you,,2018,48min,7.7 (309k),A,United States,https://www.justwatch.com/in/tv-show/you
the last of us,"Drama, Action & Adventure, Horror, Science-Fiction, Mystery & Thriller",,58min,,,,https://www.justwatch.com/in/tv-show/the-last-of-us
person of interest,,,,,,,https://www.justwatch.com/in/tv-show/person-of-interest
prison break,"Crime, Drama, Action & Adventure, Mystery & Thriller, Made in Europe",2005,50min,8.3 (587k),,United States,https://www.justwatch.com/in/tv-show/prison-break
how i met your mother,"Comedy, Drama, Romance",2005,24min,8.3 (740k),U,United States,https://www.justwatch.com/in/tv-show/how-i-met-your-mother
raising voices,,,,7.2 (4.2k),,Spain,https://www.justwatch.com/in/tv-show/raising-voices
house,"Mystery & Thriller, Drama",,,,,,https://www.justwatch.com/in/tv-show/house
the wire,"Crime, Drama, Mystery & Thriller",2002,59min,9.3 (386k),,United States,https://www.justwatch.com/in/tv-show/the-wire
college romance,,,,,A,India,https://www.justwatch.com/in/tv-show/college-romance
heeramandi,"Drama, History, Romance, War & Military",,54min,,,,https://www.justwatch.com/in/tv-show/heeramandi
chernobyl,,,1h 5min,,,,https://www.justwatch.com/in/tv-show/chernobyl
yellowstone,,2018,50min,8.7 (234k),,United States,https://www.justwatch.com/in/tv-show/yellowstone
