Title,Genra,Release_year,Run_time,IMDB_rating,Age_rating,Production_country,Link
ullozhukku,Drama,2024,2h 3min,7.6 (1.2k),U,India,https://www.justwatch.com/in/movie/ullozhukku
12th fail,Drama,2023,2h 27min,8.9 (129k),,India,https://www.justwatch.com/in/movie/12th-fail
fly me to the moon 2024,"Comedy, Romance",2024,2h 15min,6.8 (9.8k),,United States,https://www.justwatch.com/in/movie/fly-me-to-the-moon-2024
la la land,"Comedy, Drama, Romance, Music & Musical",2016,2h 9min,8.0 (689k),A,"Hong Kong, United States",https://www.justwatch.com/in/movie/la-la-land
rockstar,"Drama, Music & Musical, Romance",2011,2h 39min,7.8 (51k),UA,India,https://www.justwatch.com/in/movie/rockstar
knives out,"Comedy, Crime, Drama, Mystery & Thriller",2019,2h 10min,7.9 (789k),,United States,https://www.justwatch.com/in/movie/knives-out
the others,"Horror, Mystery & Thriller, Made in Europe",2001,1h 44min,7.6 (399k),,"France, Spain, United States",https://www.justwatch.com/in/movie/the-others
kinds of kindness,"Comedy, Drama",2024,2h 44min,6.6 (32k),A,"Greece, Ireland, United Kingdom, United States",https://www.justwatch.com/in/movie/kinds-of-kindness
chilli chicken,Drama,2024,2h 3min,7.6 (73),,India,https://www.justwatch.com/in/movie/chilli-chicken
honeymoon express,"Comedy, Romance, Drama",2024,1h 58min,8.6 (2.1k),A,India,https://www.justwatch.com/in/movie/honeymoon-express
committee kurrollu,Drama,2024,2h 36min,8.9 (2.5k),UA,India,https://www.justwatch.com/in/movie/committee-kurrollu
dune 2021,"Science-Fiction, Action & Adventure, Drama",2021,2h 35min,8.0 (902k),UA,United States,https://www.justwatch.com/in/movie/dune-2021
uranus 2324,"Drama, Science-Fiction, Romance",2024,2h 28min,7.8 (2.9k),,Thailand,https://www.justwatch.com/in/movie/uranus-2324
trap 2024,"Mystery & Thriller, Crime, Horror",2024,1h 45min,6.0 (59k),,United States,https://www.justwatch.com/in/movie/trap-2024
satyabhama,"Crime, Drama, Mystery & Thriller",2024,2h 12min,6.1 (1.4k),UA,India,https://www.justwatch.com/in/movie/satyabhama
family star,"Action & Adventure, Drama, Romance, Comedy",2024,2h 39min,5.3 (4.7k),,India,https://www.justwatch.com/in/movie/family-star
abigail 2024,"Horror, Mystery & Thriller",2024,1h 49min,6.6 (68k),A,United States,https://www.justwatch.com/in/movie/abigail-2024
pushpa,"Mystery & Thriller, Action & Adventure, Drama, Crime",2021,2h 59min,7.6 (90k),UA,India,https://www.justwatch.com/in/movie/pushpa
prisoners,"Mystery & Thriller, Crime, Drama",2013,2h 33min,8.2 (830k),A,United States,https://www.justwatch.com/in/movie/prisoners
perfect days,Drama,2023,2h 4min,7.9 (58k),,"Germany, Japan",https://www.justwatch.com/in/movie/perfect-days
apocalypto,"Drama, History, Action & Adventure, Mystery & Thriller",2006,2h 19min,7.8 (336k),A,"United Kingdom, United States",https://www.justwatch.com/in/movie/apocalypto
premalu,"Comedy, Romance",2024,2h 36min,7.8 (15k),U,India,https://www.justwatch.com/in/movie/premalu
kill bill vol 1,"Action & Adventure, Crime, Mystery & Thriller",2003,1h 51min,8.2 (1m),A,United States,https://www.justwatch.com/in/movie/kill-bill-vol-1
inside out,"Comedy, Animation, Kids & Family, Action & Adventure, Drama, Fantasy",2015,1h 35min,8.1 (827k),U,United States,https://www.justwatch.com/in/movie/inside-out
mathu vadalara,"Mystery & Thriller, Comedy, Crime",2019,2h 10min,8.2 (5.1k),UA,India,https://www.justwatch.com/in/movie/mathu-vadalara
sultan,"Drama, Action & Adventure, Romance, Sport",2016,2h 50min,7.1 (53k),UA,India,https://www.justwatch.com/in/movie/sultan
grrrr,"Comedy, Drama, Kids & Family",2024,2h 1min,4.0 (545),U,India,https://www.justwatch.com/in/movie/grrrr
the lord of the rings the fellowship of the ring,"Fantasy, Drama, Action & Adventure",2001,2h 59min,8.9 (2m),U,"United States, New Zealand",https://www.justwatch.com/in/movie/the-lord-of-the-rings-the-fellowship-of-the-ring
jackpot 2024,"Action & Adventure, Comedy",2024,1h 46min,5.8 (23k),,United States,https://www.justwatch.com/in/movie/jackpot-2024
raghu thatha,"Comedy, Drama",2024,2h 14min,6.5 (156),U,India,https://www.justwatch.com/in/movie/raghu-thatha
stree 2,"Comedy, Horror",2024,2h 27min,7.7 (23k),UA,India,https://www.justwatch.com/in/movie/stree-2
project k,"Action & Adventure, Fantasy, Science-Fiction, Drama, Mystery & Thriller",2024,2h 56min,7.1 (54k),UA,India,https://www.justwatch.com/in/movie/project-k
kill 2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",2024,1h 45min,7.6 (26k),A,India,https://www.justwatch.com/in/movie/kill-2024
munjha,"Comedy, Horror",2024,2h 3min,6.5 (20k),UA,India,https://www.justwatch.com/in/movie/munjha
stree,"Horror, Comedy, Drama",2018,2h 7min,7.5 (41k),UA,India,https://www.justwatch.com/in/movie/stree
his three daughters,"Drama, Comedy",2024,1h 41min,7.6 (399),,United States,https://www.justwatch.com/in/movie/his-three-daughters
in a violent nature,"Horror, Mystery & Thriller, Drama",2024,1h 34min,5.6 (16k),,"United States, Canada",https://www.justwatch.com/in/movie/in-a-violent-nature
killer heat,"Crime, Romance, Drama, Mystery & Thriller",2024,,,,United States,https://www.justwatch.com/in/movie/killer-heat
a true gentleman,"Drama, Romance",2024,1h 50min,,,Turkey,https://www.justwatch.com/in/movie/a-true-gentleman
will and harper,Documentary,2024,1h 54min,6.7 (270),,United States,https://www.justwatch.com/in/movie/will-and-harper
